Tweet,User,User_ID,Geo,HashTag,Date
0,"Cleared: Abandoned vehicle in Miami-Dade on 95 Express south ramp to SR-112 West/Miami International Airport, off-ramp closed. Last...",FL511_95Express,823981656847556608,,,Tue Jul 30 21:56:57 +0000 2019
1,"Updated: Abandoned vehicle in Miami-Dade on 95 Express south ramp to SR-112 West/Miami International Airport,...http://fl511.com/EventDetails/District%206/828779 …",FL511_95Express,823981656847556608,,,Tue Jul 30 21:51:16 +0000 2019
2,"New: Emergency vehicles in Miami-Dade on 95 Express north ramp from SR-112, on-ramp closed. Last updated at...http://fl511.com/EventDetails/District%206/828788 …",FL511_95Express,823981656847556608,,,Tue Jul 30 21:44:17 +0000 2019
3,"New: Abandoned vehicle in Miami-Dade on 95 Express south ramp to SR-112 West/Miami International Airport,...http://fl511.com/EventDetails/District%206/828779 …",FL511_95Express,823981656847556608,,,Tue Jul 30 21:28:18 +0000 2019
4,"Cleared: Disabled vehicle in Miami-Dade on 95 Express south ramp to I-95 Mainline/Florida's Turnpike/SR-826, off-ramp closed. Last...",FL511_95Express,823981656847556608,,,Tue Jul 30 19:58:10 +0000 2019
5,"New: Disabled vehicle in Miami-Dade on 95 Express south ramp to I-95 Mainline/Florida's Turnpike/SR-826, off-ramp...http://fl511.com/EventDetails/District%206/828753 …",FL511_95Express,823981656847556608,,,Tue Jul 30 19:42:08 +0000 2019
6,"Cleared: Disabled vehicle in Miami-Dade on 95 Express south at SR-932/NW 103 St, left lane blocked. Last updated at 07:54:45AM.",FL511_95Express,823981656847556608,,,Tue Jul 30 12:17:11 +0000 2019
7,"New: Disabled vehicle in Miami-Dade on 95 Express south at SR-932/NW 103 St, left lane blocked. Last updated at...http://fl511.com/EventDetails/District%206/828665 …",FL511_95Express,823981656847556608,,,Tue Jul 30 11:56:55 +0000 2019
8,"Cleared: Planned construction in Broward on 95 Express south ramp from I-95 Mainline/Griffin Rd, on-ramp closed. Last updated at 10:23:36PM.",FL511_95Express,823981656847556608,,,Tue Jul 30 11:19:16 +0000 2019
9,"Cleared: Planned construction in Broward on 95 Express south ramp from I-95 Mainline/Broward Blvd, on-ramp closed. Last updated at...",FL511_95Express,823981656847556608,,,Tue Jul 30 11:19:16 +0000 2019
10,"Cleared: Disabled vehicle in Miami-Dade on 95 Express north at SR-916/NW 135 St/Opa-locka Blvd, left lane blocked. Last updated at...",FL511_95Express,823981656847556608,,,Tue Jul 30 08:53:09 +0000 2019
11,"New: Disabled vehicle in Miami-Dade on 95 Express north at SR-916/NW 135 St/Opa-locka Blvd, left lane blocked....http://fl511.com/EventDetails/District%206/828635 …",FL511_95Express,823981656847556608,,,Tue Jul 30 08:52:10 +0000 2019
12,"Cleared: Planned construction in Miami-Dade on 95 Express south at SR-934/NW 79 St/NW 81 St, right lane blocked. Last updated at 02:36:09AM.",FL511_95Express,823981656847556608,,,Tue Jul 30 07:36:10 +0000 2019
13,"Cleared: Disabled vehicle in Miami-Dade on 95 Express north at SR-934/NW 79 St/NW 81 St, left lane blocked. Last updated at 12:05:52AM.",FL511_95Express,823981656847556608,,,Tue Jul 30 04:20:35 +0000 2019
14,"New: Disabled vehicle in Miami-Dade on 95 Express north at SR-934/NW 79 St/NW 81 St, left lane blocked. Last...http://fl511.com/EventDetails/District%206/828621 …",FL511_95Express,823981656847556608,,,Tue Jul 30 04:06:31 +0000 2019
15,"Updated: Planned construction in Miami-Dade on 95 Express south at SR-934/NW 79 St/NW 81 St, right lane blocked....http://fl511.com/EventDetails/District%206/828599 …",FL511_95Express,823981656847556608,,,Tue Jul 30 03:37:51 +0000 2019
16,"New: Planned construction in Broward on 95 Express south ramp from I-95 Mainline/Griffin Rd, on-ramp closed. Last...http://fl511.com/EventDetails/District%204/1955182 …",FL511_95Express,823981656847556608,,,Tue Jul 30 02:24:31 +0000 2019
17,"New: Planned construction in Broward on 95 Express south ramp from I-95 Mainline/Broward Blvd, on-ramp closed....http://fl511.com/EventDetails/District%204/1955179 …",FL511_95Express,823981656847556608,,,Tue Jul 30 02:16:44 +0000 2019
18,"Updated: Planned construction in Miami-Dade on 95 Express south at SR-934/NW 79 St/NW 81 St, right lane blocked....http://fl511.com/EventDetails/District%206/828599 …",FL511_95Express,823981656847556608,,,Tue Jul 30 01:36:36 +0000 2019
19,"New: Disabled vehicle in Miami-Dade on 95 Express south at SR-934/NW 79 St/NW 81 St, right lane blocked. Last...http://fl511.com/EventDetails/District%206/828599 …",FL511_95Express,823981656847556608,,,Tue Jul 30 01:31:32 +0000 2019
20,"Cleared: Disabled vehicle in Miami-Dade on 95 Express south before Florida's Turnpike/SR-826, all lanes blocked. Last updated at 07:20:41PM.",FL511_95Express,823981656847556608,,,Mon Jul 29 23:43:34 +0000 2019
21,"New: Disabled vehicle in Miami-Dade on 95 Express south before Florida's Turnpike/SR-826, all lanes blocked. Last...http://fl511.com/EventDetails/District%206/828587 …",FL511_95Express,823981656847556608,,,Mon Jul 29 23:25:11 +0000 2019
22,"Cleared: Disabled vehicle in Miami-Dade on 95 Express north beyond SR-860/Miami Gardens Dr, left lane blocked. Last updated at 07:17:41PM.",FL511_95Express,823981656847556608,,,Mon Jul 29 23:25:11 +0000 2019
